c random 2000 vertices, 8000 edges, seed = 11
g 2000 8000
e 1 2 2441
e 1 3 5679
e 2 4 5520
e 2 5 2027
e 3 6 8433
e 3 7 247
e 4 8 7501
e 4 9 5020
e 5 10 737
e 5 11 3847
e 6 12 3522
e 6 13 8760
e 7 14 3165
e 7 15 4204
e 8 16 5104
e 8 17 1885
e 9 18 8768
e 9 19 6605
e 10 20 7068
e 10 21 7581
e 11 22 3508
e 11 23 4162
e 12 24 7868
e 12 25 7249
e 13 26 9162
e 13 27 8853
e 14 28 9461
e 14 29 5607
e 15 30 1620
e 15 31 7441
e 16 32 3915
e 16 33 9496
e 17 34 6440
e 17 35 3185
e 18 36 2723
e 18 37 4950
e 19 38 7243
e 19 39 7794
e 20 40 8210
e 20 41 5296
e 21 42 2509
e 21 43 2031
e 22 44 5888
e 22 45 4807
e 23 46 939
e 23 47 6918
e 24 48 425
e 24 49 3611
e 25 50 1322
e 25 51 9945
e 26 52 6027
e 26 53 2188
e 27 54 4581
e 27 55 2142
e 28 56 9271
e 28 57 5495
e 29 58 6623
e 29 59 7424
e 30 60 3640
e 30 61 4752
e 31 62 7355
e 31 63 6552
e 32 64 2079
e 32 65 4869
e 33 66 8741
e 33 67 3543
e 34 68 5426
e 34 69 1331
e 35 70 459
e 35 71 449
e 36 72 3760
e 36 73 6099
e 37 74 9672
e 37 75 3735
e 38 76 1089
e 38 77 1252
e 39 78 3896
e 39 79 4658
e 40 80 5504
e 40 81 878
e 41 82 1155
e 41 83 8777
e 42 84 2277
e 42 85 9994
e 43 86 5638
e 43 87 779
e 44 88 3873
e 44 89 7819
e 45 90 962
e 45 91 8445
e 46 92 2944
e 46 93 4906
e 47 94 8479
e 47 95 2590
e 48 96 4736
e 48 97 604
e 49 98 2920
e 49 99 1848
e 50 100 2964
e 50 101 769
e 51 102 8817
e 51 103 623
e 52 104 9977
e 52 105 1388
e 53 106 4779
e 53 107 4722
e 54 108 520
e 54 109 9811
e 55 110 832
e 55 111 9300
e 56 112 274
e 56 113 5762
e 57 114 7483
e 57 115 1085
e 58 116 8728
e 58 117 2086
e 59 118 4071
e 59 119 4370
e 60 120 7623
e 60 121 7526
e 61 122 3855
e 61 123 8804
e 62 124 4870
e 62 125 6932
e 63 126 7508
e 63 127 5404
e 64 128 9181
e 64 129 8505
e 65 130 7985
e 65 131 1900
e 66 132 4282
e 66 133 4821
e 67 134 8966
e 67 135 1364
e 68 136 4922
e 68 137 8113
e 69 138 1823
e 69 139 3265
e 70 140 910
e 70 141 8196
e 71 142 9722
e 71 143 2686
e 72 144 855
e 72 145 8291
e 73 146 2997
e 73 147 4579
e 74 148 3107
e 74 149 8577
e 75 150 9398
e 75 151 4844
e 76 152 1416
e 76 153 3633
e 77 154 474
e 77 155 2369
e 78 156 1111
e 78 157 4756
e 79 158 9112
e 79 159 6917
e 80 160 9605
e 80 161 2283
e 81 162 5821
e 81 163 5884
e 82 164 1698
e 82 165 5613
e 83 166 7567
e 83 167 2597
e 84 168 5751
e 84 169 9802
e 85 170 5664
e 85 171 4017
e 86 172 3200
e 86 173 2085
e 87 174 6023
e 87 175 2251
e 88 176 8428
e 88 177 4564
e 89 178 794
e 89 179 2662
e 90 180 1570
e 90 181 3844
e 91 182 1228
e 91 183 130
e 92 184 1468
e 92 185 1031
e 93 186 6353
e 93 187 881
e 94 188 5349
e 94 189 7132
e 95 190 5105
e 95 191 7827
e 96 192 451
e 96 193 7102
e 97 194 7278
e 97 195 8674
e 98 196 5555
e 98 197 3203
e 99 198 2098
e 99 199 4992
e 100 200 5113
e 100 201 1323
e 101 202 3614
e 101 203 1730
